content,cleaned,category,appVersion,at
Now I can't read reviews after clicking on the rating.,cant read reviews clicking rating,Other,19.2.1,11-10-2025 12:44
bad rate bhaut jayda h,bad rate bhaut jayda h,Other,19.2.1,11-10-2025 12:35
"They are scamsters.Once you pay you are on your own, whether you receive the food or not whether it's eatable or not. You'll only get AI chatbot for support once you have paid",scamstersonce pay whether receive food whether eatable youll get ai chatbot support paid,Customer Support,19.1.2,11-10-2025 12:33
"THEIR DELIVERY PARTNERS ARE RASCALS SAYS LEARN HOW TO ORDER THEN ORDER, TO THE PERSON WHO IS ORDERING FROM LAST 6 YEARS IN VARIOUS CITIES OF INDIA.",delivery partners rascals says learn order order person ordering last years various cities india,Late Delivery,12.2.2,11-10-2025 12:19
"Too slow.. very expensive.. lots of hidden charges.... delivers food cold as deadbody.. sometimes do not deliver at all.. waste of time, order and pickup from restorent will save time, money and efforts.",slow expensive lots hidden charges delivers food cold deadbody sometimes deliver waste time order pickup restorent save time money efforts,"Late Delivery, Payment/Refund Issues, High Charges / Pricing",19.2.1,11-10-2025 12:18
they are just charge you tripple and will not deliver on time. worst support,charge tripple deliver time worst support,"Late Delivery, Payment/Refund Issues, Customer Support",19.2.1,11-10-2025 12:07
bad rating high,bad rating high,Other,19.2.1,11-10-2025 11:58
My order is delayed by more than 40 min..... It's a pathetic situation for me... useless service by zomato,order delayed min pathetic situation useless service zomato,"Late Delivery, Customer Support",19.2.1,11-10-2025 11:56
i cant even enter my number,cant even enter number,Other,19.2.1,11-10-2025 11:55
quite good,quite good,Other,19.2.1,11-10-2025 11:52
"what the hell service you people given, I paid for food but I will not get any food, I have double loss, food and money also, where is my money or food",hell service people given paid food get food double loss food money also money food,"Payment/Refund Issues, Customer Support",19.2.1,11-10-2025 11:50
good,good,Other,19.2.1,11-10-2025 11:48
hi price,hi price,High Charges / Pricing,,11-10-2025 11:48
market rate se Zomato bahut mahanga bech raha hai,market rate se zomato bahut mahanga bech raha hai,Other,19.2.1,11-10-2025 11:30
"Never order from this app, my order was eaten by a delivery boy and when I tried to complaint the told me to send mail where it would take 72 hours to resolve. I would suggest you order from other apps as they have good customer support.",never order app order eaten delivery boy tried complaint told send mail would take hours resolve would suggest order apps good customer support,"Late Delivery, Customer Support",,11-10-2025 11:26
why is Zomato is not available in our area,zomato available area,Other,,11-10-2025 11:20
very good app and food,good app food,Other,19.0.7,11-10-2025 11:18
cheater app online.. I have shown a coupon MUNCHPOP morning after 2 hrs when I tried to apply it throws an error as not valid for you... don't trust this fraud app,cheater app online shown coupon munchpop morning hrs tried apply throws error valid dont trust fraud app,App / Technical Issues,19.2.1,11-10-2025 10:57
it was so good,good,Other,19.2.1,11-10-2025 10:50
They decrease their service day by day in Bangalore. Very bad experience.,decrease service day day bangalore bad experience,Customer Support,19.2.1,11-10-2025 10:49
I am from devolp village but order is not coming to my home,devolp village order coming home,Late Delivery,19.2.1,11-10-2025 10:47
good work,good work,Other,19.2.1,11-10-2025 10:43
very worst delivery partner by zomato,worst delivery partner zomato,Other,19.2.1,11-10-2025 10:39
"After being unable to order food at my office, I was directed by Zomato to reach out to support via email. When I sent them a screen recording as per their instruction, I got a response of exactly the same email that I had responded to. This is hilarious, tragic, pathetic and the last straw all at the same time. Now I have uninstalled Zomato, installed Swiggy and attained peace of mind. They deliver to my office too. And they give better discounts. Good riddance.",unable order food office directed zomato reach support via email sent screen recording per instruction got response exactly email responded hilarious tragic pathetic last straw time uninstalled zomato installed swiggy attained peace mind deliver office give better discounts good riddance,"Late Delivery, Wrong/Missing Items, Customer Support",18.0.6,11-10-2025 10:34
"bad experience recently , I haven't received refund on cancelled prepaid order , later I chat with support , it is mentioned that entire amount they consider as a cancellation fee .",bad experience recently havent received refund cancelled prepaid order later chat support mentioned entire amount consider cancellation fee,"Late Delivery, Payment/Refund Issues, Customer Support",19.1.8,11-10-2025 10:29
"They need to change the title from Zomato to ""Multiple Orders & Always late"". Had multiple terrible experiences and every single time the delivery guy has said that zomato groups 5 or 6 orders at a time. Food has gone cold and uneatable in almost all instances.",need change title zomato multiple orders always late multiple terrible experiences every single time delivery guy said zomato groups orders time food gone cold uneatable almost instances,Late Delivery,19.1.8,11-10-2025 10:11
I usually don't given any negative review but Today I have to do this because I have ordered 2 thalis from Avadh thal on 7th oct. and received only one thali and when i complaint for it the hotel manager was talking you have to come and take your rest order. when I complaint in zomato app they given me message that your is refund initiative and estimate date is 10 oct. Today is 11 oct. and no money transfer in my account,usually dont given negative review today ordered thalis avadh thal th oct received one thali complaint hotel manager talking come take rest order complaint zomato app given message refund initiative estimate date oct today oct money transfer account,"Late Delivery, Payment/Refund Issues",19.2.1,11-10-2025 10:11
now Zomato has started grouped orders without informing clients and the order which were coming earlier in 20-25min are now taking 45-55 minutes. absolutely rubbish,zomato started grouped orders without informing clients order coming earlier min taking minutes absolutely rubbish,Late Delivery,,11-10-2025 10:10
"This app is getting poorer. Now all the orders are getting delayed, the prices are too high, and on top of that this platform is charging fee separately. Whatever coupons or discounts were available are not beneficial anymore. It is getting really annoyed now. The prices are increasing and the quanity and quality is decreasing. And now, you can't talk to their customer support directly. There are pre defined options only you can select those and app with end your chat then and there. Really bad.",app getting poorer orders getting delayed prices high top platform charging fee separately whatever coupons discounts available beneficial anymore getting really annoyed prices increasing quanity quality decreasing cant talk customer support directly pre defined options select app end chat really bad,"Late Delivery, High Charges / Pricing, Customer Support",19.2.1,11-10-2025 10:08
bad,bad,Other,19.2.1,11-10-2025 10:06
"Zomato used to be a reliable place for real customer reviews and honest feedback. Unfortunately, they’ve completely removed the review feature, turning the app into nothing more than a listing service that conveniently promotes fake, inflated ratings for substandard restaurants. It’s disappointing to see a platform that was once built on transparency now encourage the same kind of misleading reviews we see flooding the Google Play Store. A once-useful app ruined by its own hubris.",zomato used reliable place real customer reviews honest feedback unfortunately theyve completely removed review feature turning app nothing listing service conveniently promotes fake inflated ratings substandard restaurants disappointing see platform built transparency encourage kind misleading reviews see flooding google play store onceuseful app ruined hubris,"Late Delivery, Customer Support",19.2.1,11-10-2025 10:03
"Why should customers order from Zomato when we can eat directly at restaurants for less cost? Restaurants already include taxes, but Zomato adds extra charges like platform fees and additional taxes on top of that. During festivals, the platform fee has even increased to ₹12, and some restaurants charge extra for packaging too , it feels like customers are paying multiple taxes for the same food. Zomato should review these charges and think about customer trust and fairness",customers order zomato eat directly restaurants less cost restaurants already include taxes zomato adds extra charges like platform fees additional taxes top festivals platform fee even increased restaurants charge extra packaging feels like customers paying multiple taxes food zomato review charges think customer trust fairness,"Late Delivery, Payment/Refund Issues, High Charges / Pricing",19.2.1,11-10-2025 09:56
As company get bigger they don't respond properly I order my food and they cancelled food and also delay in refund process and supporting excecutive talked to rudely and said humara yaha esa he hota h karna h to order kro nahi to mat kro,company get bigger dont respond properly order food cancelled food also delay refund process supporting excecutive talked rudely said humara yaha esa hota h karna h order kro nahi mat kro,"Late Delivery, Payment/Refund Issues, Customer Support",19.1.8,11-10-2025 09:56
poor,poor,Other,,11-10-2025 09:45
"If there's 0 star, i would have given it. A hotel named Andhra spicy House in Chromepet had conducted a function and in that case they should have not accepted the restaurant order. But they accepted and made us wait for 1.15 hours literally. When I request zomato for compensation, they aren't even accepting it and saying only apologies. Better Everyone start Uninstalling zomato and better visit restaurants and buy on your own.",theres star would given hotel named andhra spicy house chromepet conducted function case accepted restaurant order accepted made us wait hours literally request zomato compensation arent even accepting saying apologies better everyone start uninstalling zomato better visit restaurants buy,Late Delivery,19.1.8,11-10-2025 09:42
बोहोत ज्यादा प्राइज है जितनी होना नहीं चाहिए उसे जायाद,,Other,19.2.1,11-10-2025 09:41
"আজকে আমি zomato থেকে খাবার অর্ডার করি, অনলাইন পেমেন্ট করে দিই। ডেলিভারি বয় খাবার টি দিতে আসাছে আমি zomato app লোকেশন এ দেখি order is arrived আমার লোকেশন এ দেখাচ্ছে, আমার ফোনে কোনো রকম ফোন আসে নি। আমি ব্যালকনি দিয়ে নীচে তাকিয়ে দেখি একজন ডেলিভারি বয় দাঁড়িয়ে আছে। আমি তাড়াতাড়ি করে যাই উনি আমাকে দেখা মাত্রই আপনি মৌসুমী সাহা ফোন কেনো ধরছেন না এরকম বলে চিৎকার করে ওঠে। আমি বলি আমার ফোনে কোনোরকম ফোন আসেনি। উনি অনেক কথা শোনান, এমনকি আমার প্রতিবেশী সকলের সামনে চিৎকার করে খুব পরিস্থিতি তৈরী করে।",zomato zomato app order arrived,Late Delivery,19.2.1,11-10-2025 09:27
1 Hour ho gaya rider ko call kiya usko zamato ek sath 3 order de diye he. wo bhi lunch ke time pe. zamato ki galti he rider ki nahi . 😡😡😡😡😡😡,hour ho gaya rider ko call kiya usko zamato ek sath order de diye wo bhi lunch ke time pe zamato ki galti rider ki nahi,Late Delivery,19.0.7,11-10-2025 09:23
Third Class Lootne ki machine,third class lootne ki machine,Other,19.2.1,11-10-2025 09:21
i ordered food in the zomato train option but they did not deliver my order.. last time they cancelled my order and they gave a refund option.. I'm very disappointed.. so you order food in the train carefully.. pls use other food delivery apps..,ordered food zomato train option deliver order last time cancelled order gave refund option im disappointed order food train carefully pls use food delivery apps,"Late Delivery, Payment/Refund Issues, Customer Support",19.2.1,11-10-2025 08:50
parathasinga emathuranga amount wasta poirum nerla poi vangunga illa na vara app payanpaduthunga,parathasinga emathuranga amount wasta poirum nerla poi vangunga illa na vara app payanpaduthunga,Other,16.4.8,11-10-2025 08:49
worst customer support service 😡😡😤,worst customer support service,Customer Support,19.2.1,11-10-2025 08:42
this app crashes every time i try to order something,app crashes every time try order something,"Late Delivery, App / Technical Issues",19.1.8,11-10-2025 08:42
"Even when the order is delayed they just group the order so that the delivery guy has to wait for another order to pick up, which made my order which was ready to get more delay",even order delayed group order delivery guy wait another order pick made order ready get delay,Late Delivery,18.7.1,11-10-2025 08:40
bunch of looters. scam company with zero ethics. don't deliver orders. cancels orders at wish. don't let speak to customers. will delete the app.,bunch looters scam company zero ethics dont deliver orders cancels orders wish dont let speak customers delete app,Late Delivery,19.1.8,11-10-2025 08:32
prices are very high ......,prices high,High Charges / Pricing,,11-10-2025 08:16
zomato se order hua tha paisa paid ho gaya tha but galti se mere se order cancel ho gaya tha but abhi tk paisa bank account me refund nhi aaya hai zomato ke jo head officer hai unse request hai ki paisa refund karwane me help ki jeeai plzz request sir ya mam 🙏🙏🙏🙏,zomato se order hua tha paisa paid ho gaya tha galti se mere se order cancel ho gaya tha abhi tk paisa bank account refund nhi aaya hai zomato ke jo head officer hai unse request hai ki paisa refund karwane help ki jeeai plzz request sir ya mam,"Late Delivery, Payment/Refund Issues, Customer Support",,11-10-2025 08:02
"The customer service experience is horrible. Have had multiple experiences when orders were delayed by more than an hour and after talking multiple times with support executives was never given even a half decent resolution, just excuses. No compensation as well, the app does what it says it does but these experiences ruin the whole point",customer service experience horrible multiple experiences orders delayed hour talking multiple times support executives never given even half decent resolution excuses compensation well app says experiences ruin whole point,"Late Delivery, Customer Support",19.1.8,11-10-2025 07:51
worst experience order apne aap cancel kr dete h or refund bhi nhi dete,worst experience order apne aap cancel kr dete h refund bhi nhi dete,"Late Delivery, Payment/Refund Issues",,11-10-2025 07:50
The new update kills half the functionality of the app. The entire point of being able to see the review comments is to see the quality of the food in the recent comments. HIDING the comments makes it easier for restaurants to buy fake reviews to bump their ratings. And the steady increase of the platform fee!! Naked corporate greed.,new update kills half functionality app entire point able see review comments see quality food recent comments hiding comments makes easier restaurants buy fake reviews bump ratings steady increase platform fee naked corporate greed,Other,19.2.1,11-10-2025 07:50
"Your delivery boy is a very bad person, he did not even deliver my order and also deducted my money, he says that he did not get the address and all the delivery boys do not say like this, he is a fraud person with a number one address, I will complain about all of you in cyber, Zomato has started doing fraud and all its delivery boys too.",delivery boy bad person even deliver order also deducted money says get address delivery boys say like fraud person number one address complain cyber zomato started fraud delivery boys,"Late Delivery, Payment/Refund Issues",19.2.1,11-10-2025 07:37
Hindi me problem likho to sale inglish me jabab dete h me kya karu btao,hindi problem likho sale inglish jabab dete h kya karu btao,Other,19.2.1,11-10-2025 07:23
bohat bekar app hai payment refund nhi krte order cancel hone pai,bohat bekar app hai payment refund nhi krte order cancel hone pai,"Late Delivery, Payment/Refund Issues",19.2.1,11-10-2025 07:21
worst delevery experience now days,worst delevery experience days,Other,,11-10-2025 07:19
It's a bad experience They do not attend customers accurately,bad experience attend customers accurately,Other,,11-10-2025 07:18
I order a cake from the and pay online as it's a bday gift for my sister they people cancel my order and did not refund my amount too they don't even have a proper support they just tell me contact with bank I contacted my bank entry in my passbook but have not received any refund from zomato end they people take my money and not refunded I tried to connect but they are not contact able I will never order anything I just other people too don't make prepaid order they never refund money,order cake pay online bday gift sister people cancel order refund amount dont even proper support tell contact bank contacted bank entry passbook received refund zomato end people take money refunded tried connect contact able never order anything people dont make prepaid order never refund money,"Late Delivery, Payment/Refund Issues, Customer Support",,11-10-2025 07:06
cash on delivery is not available,cash delivery available,Other,19.2.1,11-10-2025 06:46
This is the worst food delivery company it never solved any issue on food delivery.,worst food delivery company never solved issue food delivery,Other,19.2.1,11-10-2025 06:45
"worst experience in Bareilly, not even a single I was able to get my food properly when I am Bareilly and the worst part is that the customer service is not ready to connect even on my issue... please guys stop using zomato when in Bareilly",worst experience bareilly even single able get food properly bareilly worst part customer service ready connect even issue please guys stop using zomato bareilly,Customer Support,,11-10-2025 06:43
such bad customer service. worst service ever. is this the way you treat your customers? very bad.,bad customer service worst service ever way treat customers bad,Customer Support,,11-10-2025 06:30
they removed the option to see reviews and photos.,removed option see reviews photos,Other,19.2.1,11-10-2025 06:27
worst app this app worst nobody help because other delivery partner pic the order same order in my order and panalty me worst app,worst app app worst nobody help delivery partner pic order order order panalty worst app,"Late Delivery, Customer Support",18.9.0,11-10-2025 06:23
"the customer service is worst than even i yesterday order food and I got the worst food i recieved my pet refused to eat that food and i report it and they said we can't do anything about it how redicilous, I'll suggest choose other platform to order food or just waste your money in this app",customer service worst even yesterday order food got worst food recieved pet refused eat food report said cant anything redicilous ill suggest choose platform order food waste money app,"Late Delivery, Payment/Refund Issues, Wrong/Missing Items, Customer Support",19.1.8,11-10-2025 06:15
worst service and coustmer support i have not get my order but app showing its delivered please put otp option when clients received the order,worst service coustmer support get order app showing delivered please put otp option clients received order,"Late Delivery, Customer Support",19.1.8,11-10-2025 06:05
"even after sending a complaint over mail, no response from support for wrong order.",even sending complaint mail response support wrong order,"Late Delivery, Customer Support",19.2.1,11-10-2025 05:57
Don't buy using this app. If food is missing or quantity is less. All they will say is that it is noted and end chat. update: great zomato now you have removed the option to chat with executive or call them and have changed it email. great the service of zomato is going from bad worse.,dont buy using app food missing quantity less say noted end chat update great zomato removed option chat executive call changed email great service zomato going bad worse,"Wrong/Missing Items, Customer Support",19.2.1,11-10-2025 05:57
rotten food delivered no proper response from zomato I have ordered chicken lollipop masala and chicken burnt garlic noodles from dragon fire restaurant Pune lollipop chicken is rotten and instead of burnt garlic I got hakka noodles. worst noodles ever had in my life and noodles chicken is also rotten,rotten food delivered proper response zomato ordered chicken lollipop masala chicken burnt garlic noodles dragon fire restaurant pune lollipop chicken rotten instead burnt garlic got hakka noodles worst noodles ever life noodles chicken also rotten,"Late Delivery, Wrong/Missing Items, Customer Support",18.8.5,11-10-2025 05:44
"Worst app, Deepender Goyal. I received rotten food and even after raising multiple complaints, no one bothered to take any action! Every time I contacted support, I got the same generic responses and no solution. Totally unprofessional and careless service. Zomato needs to seriously work on their customer support — people pay for food, not frustration.",worst app deepender goyal received rotten food even raising multiple complaints one bothered take action every time contacted support got generic responses solution totally unprofessional careless service zomato needs seriously work customer support people pay food frustration,"Late Delivery, Wrong/Missing Items, Customer Support",,11-10-2025 05:42
ye abhi tak aurangabad bihar deo me available nahi hai,ye abhi tak aurangabad bihar deo available nahi hai,Other,19.2.1,11-10-2025 04:14
Awful experience. Will not connect you to customer service. There is no way to get your issues resolved and they never deliver on time.,awful experience connect customer service way get issues resolved never deliver time,"Late Delivery, Customer Support",19.1.8,11-10-2025 03:50
really bad app and customer service.,really bad app customer service,Customer Support,18.6.1,11-10-2025 03:43
Real Stupid Move by Zomato to remove Reviews of Real customers n introduce ratings only instead. An anonymous customer aptly wrote somewhere online - to think that a Zomato top management got promotion for suggesting this idea but U dear customer will only get explosive diarrhea. I thot u cared abt empowering customers but u only care abt profits. Restaurants didn't care if their food was any good or hygienic as long as they pocketed the money.Whatever little accountability was there is now gone,real stupid move zomato remove reviews real customers n introduce ratings instead anonymous customer aptly wrote somewhere online think zomato top management got promotion suggesting idea u dear customer get explosive diarrhea thot u cared abt empowering customers u care abt profits restaurants didnt care food good hygienic long pocketed moneywhatever little accountability gone,"Payment/Refund Issues, Wrong/Missing Items, Customer Support",19.2.1,11-10-2025 03:40
"At Zomato We believe in making your day miserable and in daylight robbery - should be their new tag line. delayed by ""just"" 1 hour is new normal and if you cancel we will not give u 1 rupees back",zomato believe making day miserable daylight robbery new tag line delayed hour new normal cancel give u rupees back,Late Delivery,19.2.1,11-10-2025 03:16
order not delivered on time my order delayed one hour then automatically cancel my order with out my confirmation please do not use this app,order delivered time order delayed one hour automatically cancel order confirmation please use app,Late Delivery,19.1.4,11-10-2025 00:09
pathetic not useful app,pathetic useful app,Other,17.0.2,10-10-2025 23:43
They always give a flase ETA and never make good on any mistakes. I am going to have my whole team office orders shifted to other Sodexo friendly apps. honestly they have really fallen from grace. Pray the law takes action on the fraudulent practices and false ETA advertisement. I hope they get sued to hell. will happily join a class action if I could. do not use zomato.,always give flase eta never make good mistakes going whole team office orders shifted sodexo friendly apps honestly really fallen grace pray law takes action fraudulent practices false eta advertisement hope get sued hell happily join class action could use zomato,Late Delivery,17.0.2,10-10-2025 21:36
Zomato is really shity they have lots of gleach in their system compare to swiggy another apps issue with order are really getting increasing day by day in last 2 months I hate more than 5 orders are defective less quality and my today's order is not fully given I ordered brother combo but burger is missing from my order and this kind of issue I faced in last 2 months please do something Zomato for this I know you are trying to increase your revenue with the help of advertising,zomato really shity lots gleach system compare swiggy another apps issue order really getting increasing day day last months hate orders defective less quality todays order fully given ordered brother combo burger missing order kind issue faced last months please something zomato know trying increase revenue help advertising,"Late Delivery, Wrong/Missing Items, Customer Support",19.1.8,10-10-2025 21:04
ok,ok,Other,19.2.1,10-10-2025 21:03
konse bhi restaurant ko apne platform pe lete hai fraud wale restaurant,konse bhi restaurant ko apne platform pe lete hai fraud wale restaurant,Other,19.2.1,10-10-2025 20:41
don't use this app ...... use Swiggy,dont use app use swiggy,Other,19.1.8,10-10-2025 20:22
worst app ever am order on 1.33 am now 1.51 am still time showing now am waiting don't install it,worst app ever order still time showing waiting dont install,Late Delivery,,10-10-2025 20:22
please do not use this application. they play around with people time. and refund for no reason and make people stay stranded hunger. be aware,please use application play around people time refund reason make people stay stranded hunger aware,"Late Delivery, Payment/Refund Issues",19.1.8,10-10-2025 20:16
"please don't order from this app, it charged me the full amount of 610 for order i canceled in less than 2 mins. I canceled the order because it said it would take 50 mins to arrive and before this order i waited for my another order for 1 hour and it didn't arrive. completely useless app.",please dont order app charged full amount order canceled less mins canceled order said would take mins arrive order waited another order hour didnt arrive completely useless app,"Late Delivery, Payment/Refund Issues",19.2.1,10-10-2025 19:55
one of their riders took my food and ran away I have provided all the necessary proof required to take action and mail them there is no customer care number to talk to them you can just email which they will reply after 48 hrs 🥲 and that's not the point theore over defend the rider by telling that he has delivered the food not expected this from you zomato saiful by never gonna install zomato again,one riders took food ran away provided necessary proof required take action mail customer care number talk email reply hrs thats point theore defend rider telling delivered food expected zomato saiful never gonna install zomato,"Late Delivery, Customer Support",,10-10-2025 19:53
Always shows wrong time of delivery,always shows wrong time delivery,Late Delivery,19.2.1,10-10-2025 19:46
Cash on delivery not available,cash delivery available,Other,19.1.8,10-10-2025 19:31
very poor delivery service if someone is very hungry he will die waiting for the order.,poor delivery service someone hungry die waiting order,"Late Delivery, Customer Support",,10-10-2025 19:21
अपने आप ऑर्डर कैंसिल हो गया और पैसे भी रिफंड नहीं हुवे,,Other,19.2.1,10-10-2025 18:53
so expensive and when unsatisfied food is delivered it is unable to resolve problem,expensive unsatisfied food delivered unable resolve problem,High Charges / Pricing,,10-10-2025 18:50
fraud company,fraud company,Other,19.1.8,10-10-2025 18:50
The over all experience was good but sometimes the orders were canceled mentioning your place is too far to deliver which is not at all encoraged. If they don't want to deliver then they shouldn't take the order in the first place...,experience good sometimes orders canceled mentioning place far deliver encoraged dont want deliver shouldnt take order first place,Late Delivery,19.1.8,10-10-2025 18:46
No option to call to customer care for proper solution of problem. very bad app . Swiggy is better,option call customer care proper solution problem bad app swiggy better,Customer Support,19.1.8,10-10-2025 18:43
all fake discount coupon,fake discount coupon,Other,19.2.1,10-10-2025 18:17
"Blind Indian Government, either you should take cancellation chargers or you should deliver order,if order cancellation in 2-3 minutes, why you deduct full amount if order preparation is not possible in 2-3 minutes. you consider different fraud charges while placing order like platform fee , xyz free. it's very easy to sustain a fraud business in India. keep it up I will take care of it myself.",blind indian government either take cancellation chargers deliver orderif order cancellation minutes deduct full amount order preparation possible minutes consider different fraud charges placing order like platform fee xyz free easy sustain fraud business india keep take care,"Late Delivery, Payment/Refund Issues, Customer Support",19.1.8,10-10-2025 18:08
worst experience with zomato in train service swiggi is better,worst experience zomato train service swiggi better,Customer Support,18.7.3,10-10-2025 17:57
very poor service,poor service,Customer Support,19.2.1,10-10-2025 17:55
"The support is unacceptable. Every single order is grouped and delayed. There is no support whatsoever. The bot keeps giving responses of statuses that I can read on my own. The app and the bot refuses to allow you to talk to a real person. The service is terrible, and they charge a premium to take 0 responsibility whatsoever.",support unacceptable every single order grouped delayed support whatsoever bot keeps giving responses statuses read app bot refuses allow talk real person service terrible charge premium take responsibility whatsoever,"Late Delivery, Payment/Refund Issues, Customer Support",19.2.1,10-10-2025 17:52
buhat hi gandi sarves hai,buhat hi gandi sarves hai,Other,19.2.1,10-10-2025 17:50
poor and careless service,poor careless service,Customer Support,,10-10-2025 17:49
bhaiyo hmare sath zomato Ne fraud kiye hai hmne online payment kar ke order cancel ka option tha tho cancel kar diya or phir se order mngaye tho phale wale order ka payment refund nahi kar rahe hai bhai student hai zomato fraud bahut gattiya hai customer survive wale bhi nahi reply kar rahe very bad zomato service please my voice go to zomato 🙏🙏🙏🙏,bhaiyo hmare sath zomato ne fraud kiye hai hmne online payment kar ke order cancel ka option tha tho cancel kar diya phir se order mngaye tho phale wale order ka payment refund nahi kar rahe hai bhai student hai zomato fraud bahut gattiya hai customer survive wale bhi nahi reply kar rahe bad zomato service please voice go zomato,"Late Delivery, Payment/Refund Issues, Customer Support",19.1.8,10-10-2025 17:48
today again fraud done with me.very disappointed with zomato.,today fraud done mevery disappointed zomato,Other,19.2.1,10-10-2025 17:40
"worst app. instead of the membership. first they cancelled my order . the second order they took too much time and then handed over to a guy with a slow ev vehicle. cherry on the top, they did order grouping. the delivery guy is super slow. their customer care is deaf and dumb.",worst app instead membership first cancelled order second order took much time handed guy slow ev vehicle cherry top order grouping delivery guy super slow customer care deaf dumb,"Late Delivery, Customer Support",19.2.1,10-10-2025 17:38
"I placed an order around 8:40 PM, with an estimated delivery time of 35 minutes. The order was repeatedly delayed until 10:00 PM and then marked as delivered without actually arriving. This highly unprofessional behavior from Zomato was extremely inconvenient, especially today on Karwa Chauth when my mother was fasting. By the time I received a refund (after a long wait for customer support to respond), most good restaurants had stopped delivering. Very poor and unprofessional, Zomato. 😮‍💨",placed order around pm estimated delivery time minutes order repeatedly delayed pm marked delivered without actually arriving highly unprofessional behavior zomato extremely inconvenient especially today karwa chauth mother fasting time received refund long wait customer support respond good restaurants stopped delivering poor unprofessional zomato,"Late Delivery, Payment/Refund Issues, Customer Support",19.1.8,10-10-2025 17:37
"Absolutely unacceptable experience with. I waited over 2 hours for my order, only to have it cancelled without any explanation or apology. Zero respect for customers’ time. If you can’t handle orders, don’t accept them in the first place. Completely disappointed and will be rethinking ever using this service again",absolutely unacceptable experience waited hours order cancelled without explanation apology zero respect customers time cant handle orders dont accept first place completely disappointed rethinking ever using service,"Late Delivery, Customer Support",19.2.1,10-10-2025 17:34
Zomato legend service is a flop Order wil not be completed and this will be informed on the day and time of delivery.. very frustrating.. zomato doesn't knew that restaurant will not prepare the order for 2 days til the date of delivery..,zomato legend service flop order wil completed informed day time delivery frustrating zomato doesnt knew restaurant prepare order days til date delivery,"Late Delivery, Customer Support",19.1.8,10-10-2025 17:31
"I have a paid gold membership, i raised an issue with my order from ashirvaad family restaurant l, dewas, MP, which they closed on their own by sending some partial refund on the order which i didn't even consent to. Is this fair? they give only selected options on the customer care chat and that too irrelevant. You will not be able to soeakto someone if you want to complaint about something. poor services😡😡😡😡😡😡😡",paid gold membership raised issue order ashirvaad family restaurant l dewas mp closed sending partial refund order didnt even consent fair give selected options customer care chat irrelevant able soeakto someone want complaint something poor services,"Late Delivery, Payment/Refund Issues, Customer Support",19.2.1,10-10-2025 17:30
"This is the worst app. I ordered a dish at 9:17 and the order was delivered to me at 10:35. One and half hours to deliver one order and when you raise a complaint they keep saying that your order was with a group order , the delivery boy is busy delivering other orders from your group and they kept me waiting for 1:40 minutes. This is their service and professionalism. As though they did a favour to me by accepting my order and taking my money and then just randomly assigning my order to a group",worst app ordered dish order delivered one half hours deliver one order raise complaint keep saying order group order delivery boy busy delivering orders group kept waiting minutes service professionalism though favour accepting order taking money randomly assigning order group,"Late Delivery, Payment/Refund Issues, Customer Support",19.1.8,10-10-2025 17:29
"I have been using Zomato for a long time but such an incident has not happened till date. The first time it happened that my payment was debited twice and the food was not delivered to me and neither has the payment been returned yet and when I asked the delivery partner to take the money in cash, he refused to take the cash saying that he has no change and took the food back and when I complained to the customer care, they are delaying it by saying sometimes 2 hours and sometimes 24 hours",using zomato long time incident happened till date first time happened payment debited twice food delivered neither payment returned yet asked delivery partner take money cash refused take cash saying change took food back complained customer care delaying saying sometimes hours sometimes hours,"Late Delivery, Payment/Refund Issues, Customer Support",19.2.1,10-10-2025 17:29
why is the detailed review section removed?,detailed review section removed,Other,19.1.8,10-10-2025 17:29
"ITS BEST THAT YOU SHOULD COOK YOUR FOOD AT HOME ON A HOLIDAY. I ordered the food and it took zomato 1 hour 30 mins to deliver. you cannot cancel the order, pathetic service, pathetic support. I am uninstalling this app now.",best cook food home holiday ordered food took zomato hour mins deliver cannot cancel order pathetic service pathetic support uninstalling app,"Late Delivery, Customer Support",19.2.1,10-10-2025 17:20
"Another year another questionable change. If hiding user reviews on delivery restaurants is your attempt to get people to order from new places just off the ratings, that is just not going to work. People use the user reviews to in fact decide whether to order from a new place, especially the reviews with images. This was my entire reason for preferring this app to others in the first place. I'm holding on for a little more hoping this change is reverted. If not I'll check other apps out.",another year another questionable change hiding user reviews delivery restaurants attempt get people order new places ratings going work people use user reviews fact decide whether order new place especially reviews images entire reason preferring app others first place im holding little hoping change reverted ill check apps,Late Delivery,19.2.1,10-10-2025 17:18
Rated down to one star because of the awful service I had today. I ordered my dinner for my family and the delivery time was fair enough but when my order was out for delivery they grouped it with another order...if I am paying only for my order and have a gold membership why would I have to wait for a longer period and why my order will be grouped with another's one,rated one star awful service today ordered dinner family delivery time fair enough order delivery grouped another orderif paying order gold membership would wait longer period order grouped anothers one,"Late Delivery, Customer Support",19.2.1,10-10-2025 17:04
"I placed an order at 21:11 and delivery boy turned up at 22:20 and when I refused to accept the order due to delay, zomato called and told that they might charge extra or block me for orders for future orders. How pathetic! Rather than feeling sorry for the delay they threaten customers with such charges. Why would one wait this long, moreover what's the use of this platform! Just uninstalling.",placed order delivery boy turned refused accept order due delay zomato called told might charge extra block orders future orders pathetic rather feeling sorry delay threaten customers charges would one wait long moreover whats use platform uninstalling,"Late Delivery, Payment/Refund Issues",19.2.1,10-10-2025 17:03
